"game","row","col","date","day","month","year","order","player1","player2","player3"
36,3,6,"2004-10-25","25","10","2004",2,"Gordon_Nathan","Harriss_Jennifer","Jennings_Ken"
36,5,2,"2004-10-25","25","10","2004",3,"Gordon_Nathan","Harriss_Jennifer","Jennings_Ken"
37,3,3,"2004-10-26","26","10","2004",1,"Carpenter_Mary","Matthews_Jeff","Jennings_Ken"
37,4,4,"2004-10-26","26","10","2004",2,"Carpenter_Mary","Matthews_Jeff","Jennings_Ken"
37,5,3,"2004-10-26","26","10","2004",3,"Carpenter_Mary","Matthews_Jeff","Jennings_Ken"
38,5,1,"2004-10-27","27","10","2004",1,"Hamilton Allen_Merritt","Villani_Adam","Jennings_Ken"
38,3,5,"2004-10-27","27","10","2004",2,"Hamilton Allen_Merritt","Villani_Adam","Jennings_Ken"
38,5,3,"2004-10-27","27","10","2004",3,"Hamilton Allen_Merritt","Villani_Adam","Jennings_Ken"
39,4,2,"2004-10-28","28","10","2004",1,"Joseph_Bob","Ann Tennant_Lori","Jennings_Ken"
39,2,1,"2004-10-28","28","10","2004",2,"Joseph_Bob","Ann Tennant_Lori","Jennings_Ken"
39,3,3,"2004-10-28","28","10","2004",3,"Joseph_Bob","Ann Tennant_Lori","Jennings_Ken"
40,4,3,"2004-10-29","29","10","2004",1,"Grimwade_Sandy","Shipley_Brian","Jennings_Ken"
40,4,6,"2004-10-29","29","10","2004",2,"Grimwade_Sandy","Shipley_Brian","Jennings_Ken"
40,5,4,"2004-10-29","29","10","2004",3,"Grimwade_Sandy","Shipley_Brian","Jennings_Ken"
41,4,1,"2004-11-01","01","11","2004",1,"Ellis_Lisa","Wiles_Ben","Jennings_Ken"
41,3,1,"2004-11-01","01","11","2004",2,"Ellis_Lisa","Wiles_Ben","Jennings_Ken"
41,5,4,"2004-11-01","01","11","2004",3,"Ellis_Lisa","Wiles_Ben","Jennings_Ken"
42,4,4,"2004-11-03","03","11","2004",1,"Perry_Rob","Tanyol_Denise","Jennings_Ken"
42,4,4,"2004-11-03","03","11","2004",2,"Perry_Rob","Tanyol_Denise","Jennings_Ken"
42,5,3,"2004-11-03","03","11","2004",3,"Perry_Rob","Tanyol_Denise","Jennings_Ken"
43,5,4,"2004-11-04","04","11","2004",1,"Knapp_Jennifer","Taggart_Jerry","Jennings_Ken"
43,3,6,"2004-11-04","04","11","2004",2,"Knapp_Jennifer","Taggart_Jerry","Jennings_Ken"
43,4,4,"2004-11-04","04","11","2004",3,"Knapp_Jennifer","Taggart_Jerry","Jennings_Ken"
44,3,6,"2004-11-05","05","11","2004",1,"Costello_Elizabeth","Murray_John","Jennings_Ken"
44,3,5,"2004-11-05","05","11","2004",2,"Costello_Elizabeth","Murray_John","Jennings_Ken"
44,4,4,"2004-11-05","05","11","2004",3,"Costello_Elizabeth","Murray_John","Jennings_Ken"
45,5,4,"2004-11-06","06","11","2004",1,"Wolpert_Leo","Cook_Ryan","Jennings_Ken"
45,4,1,"2004-11-06","06","11","2004",2,"Wolpert_Leo","Cook_Ryan","Jennings_Ken"
45,5,4,"2004-11-06","06","11","2004",3,"Wolpert_Leo","Cook_Ryan","Jennings_Ken"
46,3,6,"2004-11-08","08","11","2004",1,"Peebles_Jennifer","Kirkpatrick_Robert","Jennings_Ken"
46,3,1,"2004-11-08","08","11","2004",2,"Peebles_Jennifer","Kirkpatrick_Robert","Jennings_Ken"
46,3,3,"2004-11-08","08","11","2004",3,"Peebles_Jennifer","Kirkpatrick_Robert","Jennings_Ken"
47,4,5,"2004-11-09","09","11","2004",1,"Oosterhuis_Dave","Hoppes_Jeff","Jennings_Ken"
47,4,1,"2004-11-09","09","11","2004",2,"Oosterhuis_Dave","Hoppes_Jeff","Jennings_Ken"
47,5,6,"2004-11-09","09","11","2004",3,"Oosterhuis_Dave","Hoppes_Jeff","Jennings_Ken"
48,3,4,"2004-11-10","10","11","2004",1,"Retterer_Casey","Jendrek_Amory","Fleming_Kermin"
48,2,6,"2004-11-10","10","11","2004",2,"Retterer_Casey","Jendrek_Amory","Fleming_Kermin"
48,4,5,"2004-11-10","10","11","2004",3,"Retterer_Casey","Jendrek_Amory","Fleming_Kermin"
49,4,2,"2004-11-11","11","11","2004",1,"Manos_Vicky","Love_Jeff","Nowotny_Amanda"
49,3,4,"2004-11-11","11","11","2004",2,"Manos_Vicky","Love_Jeff","Nowotny_Amanda"
49,4,1,"2004-11-11","11","11","2004",3,"Manos_Vicky","Love_Jeff","Nowotny_Amanda"
50,5,5,"2004-11-12","12","11","2004",1,"Bushell_Matt","Burd_Kelley","Marshall_Larry"
50,4,3,"2004-11-12","12","11","2004",2,"Bushell_Matt","Burd_Kelley","Marshall_Larry"
50,5,1,"2004-11-12","12","11","2004",3,"Bushell_Matt","Burd_Kelley","Marshall_Larry"
51,4,5,"2004-11-15","15","11","2004",1,"Hargrove_Lindsey","Schoenholtz_Ari","Wang_Lily"
51,4,2,"2004-11-15","15","11","2004",2,"Hargrove_Lindsey","Schoenholtz_Ari","Wang_Lily"
51,4,6,"2004-11-15","15","11","2004",3,"Hargrove_Lindsey","Schoenholtz_Ari","Wang_Lily"
52,4,3,"2004-11-16","16","11","2004",1,"Maes_Christina","Selvig_Brad","Mccool_Rachel"
52,4,3,"2004-11-16","16","11","2004",2,"Maes_Christina","Selvig_Brad","Mccool_Rachel"
52,4,6,"2004-11-16","16","11","2004",3,"Maes_Christina","Selvig_Brad","Mccool_Rachel"
53,5,1,"2004-11-17","17","11","2004",1,"Manos_Vicky","Schoenholtz_Ari","Retterer_Casey"
53,2,6,"2004-11-17","17","11","2004",2,"Manos_Vicky","Schoenholtz_Ari","Retterer_Casey"
53,4,5,"2004-11-17","17","11","2004",3,"Manos_Vicky","Schoenholtz_Ari","Retterer_Casey"
54,4,3,"2004-11-18","18","11","2004",1,"Jendrek_Amory","Mccool_Rachel","Wang_Lily"
54,3,3,"2004-11-18","18","11","2004",2,"Jendrek_Amory","Mccool_Rachel","Wang_Lily"
54,4,6,"2004-11-18","18","11","2004",3,"Jendrek_Amory","Mccool_Rachel","Wang_Lily"
55,5,5,"2004-11-19","19","11","2004",1,"Hargrove_Lindsey","Burd_Kelley","Fleming_Kermin"
55,3,1,"2004-11-19","19","11","2004",2,"Hargrove_Lindsey","Burd_Kelley","Fleming_Kermin"
55,4,5,"2004-11-19","19","11","2004",3,"Hargrove_Lindsey","Burd_Kelley","Fleming_Kermin"
56,4,3,"2004-11-22","22","11","2004",1,"Schoenholtz_Ari","Mccool_Rachel","Fleming_Kermin"
56,4,6,"2004-11-22","22","11","2004",2,"Schoenholtz_Ari","Mccool_Rachel","Fleming_Kermin"
57,5,5,"2004-11-23","23","11","2004",1,"Schoenholtz_Ari","Mccool_Rachel","Fleming_Kermin"
57,3,3,"2004-11-23","23","11","2004",2,"Schoenholtz_Ari","Mccool_Rachel","Fleming_Kermin"
57,3,6,"2004-11-23","23","11","2004",3,"Schoenholtz_Ari","Mccool_Rachel","Fleming_Kermin"
58,4,1,"2004-11-24","24","11","2004",1,"Ford_Dan","Buckhout_Lisa","Jennings_Ken"
58,3,6,"2004-11-24","24","11","2004",2,"Ford_Dan","Buckhout_Lisa","Jennings_Ken"
58,4,5,"2004-11-24","24","11","2004",3,"Ford_Dan","Buckhout_Lisa","Jennings_Ken"
59,3,3,"2004-11-25","25","11","2004",1,"Donaghy_Whitney","Graves_Philip","Jennings_Ken"
59,3,1,"2004-11-25","25","11","2004",2,"Donaghy_Whitney","Graves_Philip","Jennings_Ken"
59,3,3,"2004-11-25","25","11","2004",3,"Donaghy_Whitney","Graves_Philip","Jennings_Ken"
60,5,5,"2004-11-26","26","11","2004",1,"Kurtz_Sanda","Smith_Andrew","Jennings_Ken"
60,2,6,"2004-11-26","26","11","2004",2,"Kurtz_Sanda","Smith_Andrew","Jennings_Ken"
60,4,1,"2004-11-26","26","11","2004",3,"Kurtz_Sanda","Smith_Andrew","Jennings_Ken"
61,5,1,"2004-11-29","29","11","2004",1,"Fry_Kathi","Kimbro_Rob","Jennings_Ken"
61,2,6,"2004-11-29","29","11","2004",2,"Fry_Kathi","Kimbro_Rob","Jennings_Ken"
61,4,3,"2004-11-29","29","11","2004",3,"Fry_Kathi","Kimbro_Rob","Jennings_Ken"
62,4,3,"2004-11-30","30","11","2004",1,"Hankins_David","Zerg_Nancy","Jennings_Ken"
62,4,3,"2004-11-30","30","11","2004",2,"Hankins_David","Zerg_Nancy","Jennings_Ken"
62,4,4,"2004-11-30","30","11","2004",3,"Hankins_David","Zerg_Nancy","Jennings_Ken"
63,5,6,"2004-12-01","01","12","2004",1,"Fitzgerald_Katie","Brownback_Nathan","Zerg_Nancy"
63,2,5,"2004-12-01","01","12","2004",2,"Fitzgerald_Katie","Brownback_Nathan","Zerg_Nancy"
63,5,3,"2004-12-01","01","12","2004",3,"Fitzgerald_Katie","Brownback_Nathan","Zerg_Nancy"
64,3,6,"2004-12-02","02","12","2004",1,"Kolchins_Josh","Benoun_Sherri","Fitzgerald_Katie"
64,4,1,"2004-12-02","02","12","2004",2,"Kolchins_Josh","Benoun_Sherri","Fitzgerald_Katie"
64,5,3,"2004-12-02","02","12","2004",3,"Kolchins_Josh","Benoun_Sherri","Fitzgerald_Katie"
65,3,4,"2004-12-03","03","12","2004",1,"Heinemann_Kord","Deballi_Pete","Fitzgerald_Katie"
65,4,3,"2004-12-03","03","12","2004",2,"Heinemann_Kord","Deballi_Pete","Fitzgerald_Katie"
65,4,5,"2004-12-03","03","12","2004",3,"Heinemann_Kord","Deballi_Pete","Fitzgerald_Katie"
66,5,5,"2004-12-06","06","12","2004",1,"Zimdars_Andy","Grace_Dennis","Deballi_Pete"
66,3,4,"2004-12-06","06","12","2004",2,"Zimdars_Andy","Grace_Dennis","Deballi_Pete"
66,5,6,"2004-12-06","06","12","2004",3,"Zimdars_Andy","Grace_Dennis","Deballi_Pete"
67,3,3,"2004-12-07","07","12","2004",1,"Singh_Shelley","Cipa_Jackie","Grace_Dennis"
67,3,3,"2004-12-07","07","12","2004",2,"Singh_Shelley","Cipa_Jackie","Grace_Dennis"
67,4,4,"2004-12-07","07","12","2004",3,"Singh_Shelley","Cipa_Jackie","Grace_Dennis"
68,4,1,"2004-12-08","08","12","2004",1,"Susman_Megan","Bready_Alex","Cipa_Jackie"
68,3,3,"2004-12-08","08","12","2004",2,"Susman_Megan","Bready_Alex","Cipa_Jackie"
68,4,5,"2004-12-08","08","12","2004",3,"Susman_Megan","Bready_Alex","Cipa_Jackie"
69,4,1,"2004-12-09","09","12","2004",1,"Mccudden_Tom","Lafferty_Karen","Susman_Megan"
69,4,1,"2004-12-09","09","12","2004",2,"Mccudden_Tom","Lafferty_Karen","Susman_Megan"
69,4,5,"2004-12-09","09","12","2004",3,"Mccudden_Tom","Lafferty_Karen","Susman_Megan"
70,5,4,"2004-12-10","10","12","2004",1,"Moran_Colette","Bowsher_Robert","Mccudden_Tom"
70,3,3,"2004-12-10","10","12","2004",2,"Moran_Colette","Bowsher_Robert","Mccudden_Tom"
70,3,5,"2004-12-10","10","12","2004",3,"Moran_Colette","Bowsher_Robert","Mccudden_Tom"
71,5,5,"2004-12-13","13","12","2004",1,"Davalos_David","Tempest_Snow","Bowsher_Robert"
71,3,4,"2004-12-13","13","12","2004",2,"Davalos_David","Tempest_Snow","Bowsher_Robert"
71,5,1,"2004-12-13","13","12","2004",3,"Davalos_David","Tempest_Snow","Bowsher_Robert"
72,4,1,"2004-12-14","14","12","2004",1,"Mayer_Jerry","Kahn_Joel","Bowsher_Robert"
72,3,4,"2004-12-14","14","12","2004",2,"Mayer_Jerry","Kahn_Joel","Bowsher_Robert"
72,4,3,"2004-12-14","14","12","2004",3,"Mayer_Jerry","Kahn_Joel","Bowsher_Robert"
73,5,6,"2004-12-15","15","12","2004",1,"Mckay_Maureen","De Seife_Ethan","Kahn_Joel"
73,4,1,"2004-12-15","15","12","2004",2,"Mckay_Maureen","De Seife_Ethan","Kahn_Joel"
73,4,5,"2004-12-15","15","12","2004",3,"Mckay_Maureen","De Seife_Ethan","Kahn_Joel"
74,4,5,"2004-12-16","16","12","2004",1,"Kowalczyk_Cliff","Holmes_Grayson","Kahn_Joel"
